Logfile Generated: [2021-4-18 11:23:53]
#[2021-4-18 11:23:53]: Entropy Engine: Default Initalization.#
[2021-4-18 11:23:53]: Inializing GLFW!
[2021-4-18 11:23:53]: Createing Window: Sandbox (1280,720)
[2021-4-18 11:23:54]: Inializing GLAD!
[2021-4-18 11:23:54]: Set Window Data Pointer!
[2021-4-18 11:23:54]: Set Window Resize Callback!
[2021-4-18 11:23:54]: Set Window Close Callback!
[2021-4-18 11:23:54]: Set Window Key Callback!
[2021-4-18 11:23:54]: Set Window Mouse Button Callback!
[2021-4-18 11:23:54]: Set Window Scroll Callback!
[2021-4-18 11:23:54]: Set Window Cursor Position Callback!
#[2021-4-18 11:23:54]: Entropy Engine: Default Run.#
[2021-4-18 11:23:54] EXAMPLE_LAYER: MouseMovedEvent: 499, 284
[2021-4-18 11:23:54] APP: MouseMovedEvent: 499, 284
[2021-4-18 11:23:54] EXAMPLE_LAYER: MouseMovedEvent: 500, 282
[2021-4-18 11:23:54] APP: MouseMovedEvent: 500, 282
[2021-4-18 11:23:54] EXAMPLE_LAYER: MouseMovedEvent: 501, 281
[2021-4-18 11:23:54] APP: MouseMovedEvent: 501, 281
[2021-4-18 11:23:54] EXAMPLE_LAYER: MouseMovedEvent: 503, 280
[2021-4-18 11:23:54] APP: MouseMovedEvent: 503, 280
[2021-4-18 11:23:54] EXAMPLE_LAYER: MouseMovedEvent: 504, 280
[2021-4-18 11:23:54] APP: MouseMovedEvent: 504, 280
[2021-4-18 11:23:54] EXAMPLE_LAYER: MouseMovedEvent: 514, 276
[2021-4-18 11:23:54] APP: MouseMovedEvent: 514, 276
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 533, 267
[2021-4-18 11:23:55] APP: MouseMovedEvent: 533, 267
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 536, 266
[2021-4-18 11:23:55] APP: MouseMovedEvent: 536, 266
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 538, 265
[2021-4-18 11:23:55] APP: MouseMovedEvent: 538, 265
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 544, 262
[2021-4-18 11:23:55] APP: MouseMovedEvent: 544, 262
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 548, 260
[2021-4-18 11:23:55] APP: MouseMovedEvent: 548, 260
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 556, 257
[2021-4-18 11:23:55] APP: MouseMovedEvent: 556, 257
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 558, 256
[2021-4-18 11:23:55] APP: MouseMovedEvent: 558, 256
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 563, 253
[2021-4-18 11:23:55] APP: MouseMovedEvent: 563, 253
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 567, 252
[2021-4-18 11:23:55] APP: MouseMovedEvent: 567, 252
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 578, 247
[2021-4-18 11:23:55] APP: MouseMovedEvent: 578, 247
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 584, 243
[2021-4-18 11:23:55] APP: MouseMovedEvent: 584, 243
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 594, 238
[2021-4-18 11:23:55] APP: MouseMovedEvent: 594, 238
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 596, 238
[2021-4-18 11:23:55] APP: MouseMovedEvent: 596, 238
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 612, 230
[2021-4-18 11:23:55] APP: MouseMovedEvent: 612, 230
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 619, 226
[2021-4-18 11:23:55] APP: MouseMovedEvent: 619, 226
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 630, 221
[2021-4-18 11:23:55] APP: MouseMovedEvent: 630, 221
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 640, 215
[2021-4-18 11:23:55] APP: MouseMovedEvent: 640, 215
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 664, 204
[2021-4-18 11:23:55] APP: MouseMovedEvent: 664, 204
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 676, 199
[2021-4-18 11:23:55] APP: MouseMovedEvent: 676, 199
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 692, 190
[2021-4-18 11:23:55] APP: MouseMovedEvent: 692, 190
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 708, 183
[2021-4-18 11:23:55] APP: MouseMovedEvent: 708, 183
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 723, 176
[2021-4-18 11:23:55] APP: MouseMovedEvent: 723, 176
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 735, 171
[2021-4-18 11:23:55] APP: MouseMovedEvent: 735, 171
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 751, 163
[2021-4-18 11:23:55] APP: MouseMovedEvent: 751, 163
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 766, 155
[2021-4-18 11:23:55] APP: MouseMovedEvent: 766, 155
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 785, 145
[2021-4-18 11:23:55] APP: MouseMovedEvent: 785, 145
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 793, 141
[2021-4-18 11:23:55] APP: MouseMovedEvent: 793, 141
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 804, 134
[2021-4-18 11:23:55] APP: MouseMovedEvent: 804, 134
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 806, 133
[2021-4-18 11:23:55] APP: MouseMovedEvent: 806, 133
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 817, 127
[2021-4-18 11:23:55] APP: MouseMovedEvent: 817, 127
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 831, 120
[2021-4-18 11:23:55] APP: MouseMovedEvent: 831, 120
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 836, 117
[2021-4-18 11:23:55] APP: MouseMovedEvent: 836, 117
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 851, 109
[2021-4-18 11:23:55] APP: MouseMovedEvent: 851, 109
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 862, 103
